player_id,player_name,franchise_key,franchise_name,abbreviations,first_season,last_season,seasons_played
smithis01,Ish Smith,HOU,Houston Rockets,HOU,2010-11,2010-11,1
smithis01,Ish Smith,MEM,Memphis Grizzlies,MEM,2010-11,2010-11,1
smithis01,Ish Smith,GSW,Golden State Warriors,GSW,2011-12,2011-12,1
smithis01,Ish Smith,ORL,Orlando Magic,ORL,2011-12,2012-13,2
smithis01,Ish Smith,MIL,Milwaukee Bucks,MIL,2012-13,2012-13,1
smithis01,Ish Smith,PHX,Phoenix Suns,PHO,2013-14,2013-14,1
smithis01,Ish Smith,OKC,Oklahoma City Thunder,OKC,2014-15,2014-15,1
smithis01,Ish Smith,PHI,Philadelphia 76ers,PHI,2014-15,2015-16,2
smithis01,Ish Smith,NOP,New Orleans Pelicans,NOP,2015-16,2015-16,1
smithis01,Ish Smith,DET,Detroit Pistons,DET,2016-17,2018-19,3
smithis01,Ish Smith,WAS,Washington Wizards,WAS,2019-20,2021-22,3
smithis01,Ish Smith,CHA,Charlotte Hornets,CHO,2021-22,2023-24,2
smithis01,Ish Smith,DEN,Denver Nuggets,DEN,2022-23,2022-23,1
brownch01,Chucky Brown,CLE,Cleveland Cavaliers,CLE,1989-90,2000-01,4
brownch01,Chucky Brown,LAL,Los Angeles Lakers,LAL,1991-92,1991-92,1
brownch01,Chucky Brown,BKN,Brooklyn Nets,NJN,1992-93,1992-93,1
brownch01,Chucky Brown,DAL,Dallas Mavericks,DAL,1993-94,1993-94,1
brownch01,Chucky Brown,HOU,Houston Rockets,HOU,1994-95,1995-96,2
brownch01,Chucky Brown,PHX,Phoenix Suns,PHO,1996-97,1996-97,1
brownch01,Chucky Brown,MIL,Milwaukee Bucks,MIL,1996-97,1996-97,1
brownch01,Chucky Brown,ATL,Atlanta Hawks,ATL,1997-98,1997-98,1
brownch01,Chucky Brown,CHA,Charlotte Hornets,CHH,1998-99,1999-00,2
brownch01,Chucky Brown,SAS,San Antonio Spurs,SAS,1999-00,1999-00,1
brownch01,Chucky Brown,GSW,Golden State Warriors,GSW,2000-01,2000-01,1
brownch01,Chucky Brown,SAC,Sacramento Kings,SAC,2001-02,2001-02,1
templga01,Garrett Temple,HOU,Houston Rockets,HOU,2009-10,2009-10,1
templga01,Garrett Temple,SAC,Sacramento Kings,SAC,2009-10,2017-18,3
templga01,Garrett Temple,SAS,San Antonio Spurs,SAS,2009-10,2010-11,2
templga01,Garrett Temple,MIL,Milwaukee Bucks,MIL,2010-11,2010-11,1
templga01,Garrett Temple,CHA,Charlotte Hornets,CHA,2010-11,2010-11,1
templga01,Garrett Temple,WAS,Washington Wizards,WAS,2012-13,2015-16,4
templga01,Garrett Temple,MEM,Memphis Grizzlies,MEM,2018-19,2018-19,1
templga01,Garrett Temple,LAC,LA Clippers,LAC,2018-19,2018-19,1
templga01,Garrett Temple,BKN,Brooklyn Nets,BRK,2019-20,2019-20,1
templga01,Garrett Temple,CHI,Chicago Bulls,CHI,2020-21,2020-21,1
templga01,Garrett Temple,NOP,New Orleans Pelicans,NOP,2021-22,2022-23,2
templga01,Garrett Temple,TOR,Toronto Raptors,TOR,2023-24,2025-26,3
jacksji01,Jim Jackson,DAL,Dallas Mavericks,DAL,1992-93,1996-97,5
jacksji01,Jim Jackson,BKN,Brooklyn Nets,NJN,1996-97,1996-97,1
jacksji01,Jim Jackson,PHI,Philadelphia 76ers,PHI,1997-98,1997-98,1
jacksji01,Jim Jackson,GSW,Golden State Warriors,GSW,1997-98,1997-98,1
jacksji01,Jim Jackson,POR,Portland Trail Blazers,POR,1998-99,1998-99,1
jacksji01,Jim Jackson,ATL,Atlanta Hawks,ATL,1999-00,2000-01,2
jacksji01,Jim Jackson,CLE,Cleveland Cavaliers,CLE,2000-01,2000-01,1
jacksji01,Jim Jackson,MIA,Miami Heat,MIA,2001-02,2001-02,1
jacksji01,Jim Jackson,SAC,Sacramento Kings,SAC,2002-03,2002-03,1
jacksji01,Jim Jackson,HOU,Houston Rockets,HOU,2003-04,2004-05,2
jacksji01,Jim Jackson,PHX,Phoenix Suns,PHO,2004-05,2005-06,2
jacksji01,Jim Jackson,LAL,Los Angeles Lakers,LAL,2005-06,2005-06,1
smithjo02,Joe Smith,GSW,Golden State Warriors,GSW,1995-96,1997-98,3
